序号,学科门类,项目名称,项目名称分词,项目类别,申请人,学校名称,省份,地区,学校标签
1134,管理学,基于“AIGC+人类创作”的内容电商平台供应链协同创新与运营优化研究,基于 AIGC 人类 创作 内容 电商 平台 供应链 协同 创新 运营 优化 研究,规划基金项目,赵能桂,合肥工业大学,安徽,中部,双一流
1135,管理学,人工智能技术应用对会计稳健性的影响研究:作用机理、经济后果与制度安排,人工 智能 技术 应用 会计 稳健性 影响 研究 作用 机理 经济 后果 制度 安排,青年基金项目,郑宝红,合肥工业大学,安徽,中部,双一流
1136,管理学,人工智能依赖对知识创造的“双刃剑”影响效应及干预策略研究,人工 智能 依赖 知识 创造 双刃剑 影响 效应 干预 策略 研究,青年基金项目,高婉莹,河北师范大学,河北,东部,普通院校
1137,管理学,分层分类帮扶对易地搬迁农户脱贫质量的作用机制和优化政策研究,分层 分类 帮扶 易地 搬迁 农户 脱贫 质量 作用 机制 优化 政策 研究,青年基金项目,黄志刚,河海大学,江苏,东部,双一流
1138,管理学,放牧格网视域下藏北高寒草地固碳能力的影响机制及提升路径研究,牧格网 视域 下藏 北高寒草 固碳 能力 影响 机制 提升 路径 研究,规划基金项目,张晓克,河海大学,江苏,东部,双一流
1139,管理学,数字化转型背景下国际工程知识型员工数字韧性的驱动机制与提升路径研究,数字化 转型 背景 国际 工程 知识型 员工 数字 韧性 驱动 机制 提升 路径 研究,青年基金项目,高莉莉,河海大学,江苏,东部,双一流
1140,管理学,基于“组织力-生产力-风险承受力”的高寒地区生态韧性评价与提升研究,基于 组织力 生产力 风险 承受力 高寒 地区 生态 韧性 评价 提升 研究,规划基金项目,李洪庆,河海大学,江苏,东部,双一流
1141,管理学,民族地区重大水电工程项目的社会稳定风险动态评估与协同治理策略研究,民族 地区 重大 水电 工程 项目 社会 稳定 风险 动态 评估 协同 治理 策略 研究,青年基金项目,李元莉,河海大学,江苏,东部,双一流
1142,管理学,基于分时电价的港口泊位与岸桥调度优化研究,基于 分时 电价 港口 泊位 岸桥 调度 优化 研究,青年基金项目,李英,河南大学,河南,中部,双一流
1143,管理学,碳风险冲击下企业耐心资本形塑机制及跨周期调节研究,风险 冲击 企业 耐心 资本 形塑 机制 周期 调节 研究,规划基金项目,杨乐,河南工程学院,河南,中部,普通院校
1144,管理学,AI赋能社区灾害应急协同的作用机制与提升策略研究,I赋 社区 灾害 应急 协同 作用 机制 提升 策略 研究,青年基金项目,徐瑞华,河南工程学院,河南,中部,普通院校
1145,管理学,基于大语言模型的企业互动平台“蹭热点”行为识别、经济后果及治理机制研究,基于 语言 模型 企业 互动 平台 蹭热点 行为 识别 经济 后果 治理 机制 研究,青年基金项目,谢楠,河南工业大学,河南,中部,普通院校
1146,管理学,AI赋能粮食储备动态轮换研究:阈值触发与政策协同,I赋 粮食 储备 动态 轮换 研究 阈值 触发 政策 协同,规划基金项目,丁四波,河南工业大学,河南,中部,普通院校
1147,管理学,乡村全面振兴背景下返乡创业人才“扎根乡土”长效机制研究,乡村 全面 振兴 背景 返乡 创业 人才 扎根 乡土 长效 机制 研究,规划基金项目,高伟明,河南工业大学,河南,中部,普通院校
1148,管理学,数字技术扩散对区域碳效应协同的影响研究:测度、机理与路径优化,数字 技术 扩散 区域 效应 协同 影响 研究 测度 机理 路径 优化,青年基金项目,王宜青,河南科技大学,河南,中部,普通院校
1149,管理学,核心企业数字创新生态系统构建机理与路径研究——资源编排视角,核心 企业 数字 创新 生态 系统 构建 机理 路径 研究 —— 资源 编排 视角,青年基金项目,崔争艳,河南牧业经济学院,河南,中部,普通院校
1150,管理学,AIGC场景下人智团队适应性研究：测量模型、影响机制与提升策略,AIG C场 景下人 智团队 适应性 研究 测量 模型 影响 机制 提升 策略,青年基金项目,张恒,湖北工业大学,湖北,中部,普通院校
1151,管理学,算法管理下人机冲突的形成机理及治理机制研究,算法 管理 下人机 冲突 形成 机理 治理 机制 研究,青年基金项目,李玉妮,湖北经济学院,湖北,中部,普通院校
1152,管理学,适应老龄化与区域人口增减分化的养老服务设施用地供需匹配机制与对策,适应 老龄化 区域 人口 增减 分化 养老 服务 设施 用地 供需 匹配 机制 对策,青年基金项目,孙铖,湖北经济学院,湖北,中部,普通院校
1153,管理学,数据资产配置对企业高质量发展的影响机理、作用机制及优化策略研究,数据 资产 配置 企业 质量 发展 影响 机理 作用 机制 优化 策略 研究,青年基金项目,张少勇,湖北经济学院,湖北,中部,普通院校
1154,管理学,中部地区数字化发展对城市韧性效率的影响机制与响应策略研究,中部 地区 数字化 发展 城市 韧性 效率 影响 机制 响应 策略 研究,青年基金项目,陈坤,湖北理工学院,湖北,中部,普通院校
1155,管理学,注意力协同视角下条块会商制度研究,注意力 协同 视角 下条 会商 制度 研究,青年基金项目,鲁宇,湖南大学,湖南,中部,双一流
1156,管理学,多源数据融合下新能源产业颠覆性技术协同演化机理、跃迁轨迹预测与动态治理策略研究,多源 数据 融合 能源 产业 颠覆性 技术 协同 演化 机理 跃迁 轨迹 预测 动态 治理 策略 研究,青年基金项目,周安华,湖南工商大学,湖南,中部,普通院校
1157,管理学,平台异质性视角下人工智能广告回避行为的理论机制与动态优化策略研究,平台 异质性 视角 人工 智能 广告 回避 行为 理论 机制 动态 优化 策略 研究,规划基金项目,周利,湖南师范大学,湖南,中部,双一流
1158,管理学,新型电力系统下城市多类型能源—交通耦合系统智能协同运行与优化研究,新型 电力 系统 城市 多类型 能源 交通 耦合 系统 智能 协同 运行 优化 研究,规划基金项目,韩凤舞,华北电力大学,北京,东部,双一流
1159,管理学,数字经济下跨组织数据驱动重大水利基础设施项目价值增值的内在机理与提升策略研究,数字 经济 下跨 组织 数据 驱动 重大 水利 基础 设施 项目 价值 增值 内在 机理 提升 策略 研究,青年基金项目,安晓伟,华北水利水电大学,河南,中部,普通院校
1160,管理学,多源异构信息环境下生成式人工智能赋能的人—机协同应急决策研究,多源 异构 信息 环境 下生 成式 人工 智能 赋能 —机 协同 应急 决策 研究,青年基金项目,邹文昌,华东交通大学,江西,中部,普通院校
1161,管理学,财政分权视角下省域间碳转移协同治理的内在逻辑、空间效应与实践路径研究,财政 分权 视角 省域 转移 协同 治理 内在 逻辑 空间 效应 实践 路径 研究,青年基金项目,朱梦成,华东交通大学,江西,中部,普通院校
1162,管理学,跨文化旅游营销中图文数据价值观解码及价值观契合驱动的传播影响机制研究,跨文化 旅游 营销 图文 数据 价值观 解码 价值观 契合 驱动 传播 影响 机制 研究,规划基金项目,叶升,华东理工大学,上海,东部,双一流
1163,管理学,中国城市碳达峰的制度化路径：标准构建、动态评估与协同治理研究,中国 城市 碳达峰 制度化 路径 标准 构建 动态 评估 协同 治理 研究,规划基金项目,汪军,华东理工大学,上海,东部,双一流
1164,管理学,多主体人智交互视角下智能产品投资决策和定价策略研究,主体人 智交 互视 角下 智能 产品 投资 决策 定价 策略 研究,青年基金项目,周琴,华东师范大学,上海,东部,双一流
1165,管理学,职工董事制度影响企业“投资于人”的作用机制与效果研究,职工 董事 制度 影响 企业 投资 作用 机制 效果 研究,规划基金项目,王霞,华东师范大学,上海,东部,双一流
1166,管理学,平台开放治理的多维结构及其对平台企业竞争优势的影响研究,平台 开放 治理 多维 结构 及其 平台 企业 竞争 优势 影响 研究,青年基金项目,吴娟,华南农业大学,广东,东部,双一流
1167,管理学,农村职业经理人制度驱动集体经济发展的机理与路径研究,农村 职业 经理人 制度 驱动 集体 经济 发展 机理 路径 研究,自筹经费项目,邓永超,华南农业大学,广东,东部,双一流
1168,管理学,数字化转型赋能企业研发国际化：作用机制、影响因素与政策优化研究,数字化 转型 赋能 企业 研发 国际化 作用 机制 影响 因素 政策 优化 研究,规划基金项目,周超,华南农业大学,广东,东部,双一流
1169,管理学,憋单内容对消费者购买行为的作用机制研究,憋单 内容 消费者 购买 行为 作用 机制 研究,青年基金项目,王钰秋,华南师范大学,广东,东部,双一流
1170,管理学,顾客—服务机器人互动情境下机器人主动性研究：内涵、测量与人机价值共创形成机制,顾客 服务 机器人 互动 情境 机器人 主动性 研究 内涵 测量 人机 价值 共创 形成 机制,青年基金项目,刘灿棉,华侨大学,福建,东部,普通院校
1171,管理学,数字技术赋能的工业互联网平台供应链产能运营优化研究,数字 技术 赋能 工业 互联网 平台 供应 链产 运营 优化 研究,青年基金项目,李文博,华侨大学,福建,东部,普通院校
1172,管理学,人工智能使用对团队突破性创新的影响机制研究——明星员工与非明星员工的共生视角,人工 智能 使用 团队 突破性 创新 影响 机制 研究 —— 明星 员工 非明星 员工 共生 视角,规划基金项目,张鹏程,华中科技大学,湖北,中部,双一流
1173,管理学,耦合“供—需—管”主体决策的大都市郊区耕地功能时空分异机理及优化调控研究,耦合 供— 需— 主体 决策 大都市 郊区 耕地 功能 时空 分异 机理 优化 调控 研究,规划基金项目,周婷,华中农业大学,湖北,中部,双一流
1174,管理学,基于图提示重构的社交网络跨领域虚假信息检测研究,基于 提示 重构 社交 网络 领域 虚假 信息 检测 研究,规划基金项目,李霞,华中师范大学,湖北,中部,双一流
1175,管理学,黄河流域高耗水企业再生水利用动态适应性决策及激励机制研究,黄河 流域 高耗水 企业 再生水 利用 动态 适应性 决策 激励 机制 研究,青年基金项目,王维,淮阴工学院,江苏,东部,普通院校
1176,管理学,“双碳”目标下生态环境治理的多主体协同机制与实现路径研究,双碳 目标 生态 环境 治理 主体 协同 机制 实现 路径 研究,青年基金项目,周成,淮阴师范学院,江苏,东部,普通院校
1177,管理学,人地耦合视角下三江源国土空间重构机理与治理路径研究——基于国家公园体制的实证分析,合视 角下 江源 国土 空间 重构 机理 治理 路径 研究 —— 基于 国家 公园 体制 实证 分析,青年基金项目,张轲,黄淮学院,河南,中部,普通院校
1178,管理学,数字化转型背景下的人机协同工作重塑：量表开发、前因组态与影响机制研究,数字化 转型 背景 人机 协同 工作 重塑 量表 开发 组态 影响 机制 研究,规划基金项目,鲍军,黄山学院,安徽,中部,普通院校
1179,管理学,农村宅基地制度“三权分置”改革的困境与突破研究,农村 宅基地 制度 分置 改革 困境 突破 研究,规划基金项目,阙海宝,吉利学院,四川,西部,普通院校
1180,管理学,AI技术采纳对“跨代劳动力”双向代际知识转移的影响及加速机制研究,AI 技术 采纳 跨代 劳动力 双向 代际 知识 转移 影响 加速 机制 研究,青年基金项目,郭衍宏,吉林师范大学,吉林,中部,普通院校
1181,管理学,资本市场人机协同决策的脑神经机制与优化策略研究,资本 市场 人机 协同 决策 脑神经 机制 优化 策略 研究,青年基金项目,张言玉,江南大学,江苏,东部,双一流
1182,管理学,产品生命周期视域下虚拟人与真人影响者营销策略动态匹配机制研究,产品 生命 周期 视域 虚拟人 真人 影响者 营销 策略 动态 匹配 机制 研究,规划基金项目,吴媛媛,江南大学,江苏,东部,双一流
1183,管理学,跨场景绿色行为时空适配困境的成因机理、调控策略与治理范式研究,跨场 绿色 行为 时空 适配 困境 成因 机理 调控 策略 治理 范式 研究,规划基金项目,朱迅,江苏大学,江苏,东部,普通院校
1184,管理学,制度地理学视角下我国省际交界区域产业高质量协同发展机制与模式研究,制度 地理 学视 角下 我国 省际 交界 区域 产业 质量 协同 发展 机制 模式 研究,规划基金项目,仇方道,江苏第二师范学院,江苏,东部,普通院校
1185,管理学,数据要素协同驱动供应链金融脱核模式的作用机制及治理策略研究,数据 要素 协同 驱动 供应链 金融 脱核 模式 作用 机制 治理 策略 研究,青年基金项目,石蓉荣,江苏科技大学,江苏,东部,普通院校
1186,管理学,基于大数据的城市运行安全风险监测和预警机制研究,基于 数据 城市 运行 安全 风险 监测 预警 机制 研究,青年基金项目,李红艳,江苏科技大学,江苏,东部,普通院校
1187,管理学,我国装备制造业高价值数据许可使用与溢出效应研究,我国 装备 制造业 价值 数据 许可 使用 溢出 效应 研究,规划基金项目,张美书,江苏科技大学,江苏,东部,普通院校
1188,管理学,网络位势视角下产业链协同、靶向性激励政策与关键技术突破路径研究,网络 势视 角下 产业链 协同 靶向性 激励 政策 关键 技术 突破 路径 研究,青年基金项目,董雪梅,江苏科技大学,江苏,东部,普通院校
1189,管理学,乡土声景对游客具身体验的重塑逻辑与影响机理研究,乡土 声景 游客 具身 体验 重塑 逻辑 影响 机理 研究,规划基金项目,王泓砚,江苏理工学院,江苏,东部,普通院校
1190,管理学,消费领域的人工智能社会责任研究:形成机制、福祉效应与治理策略,消费 领域 人工 智能 社会 责任 研究 形成 机制 福祉 效应 治理 策略,规划基金项目,赵星,江西财经大学,江西,中部,普通院校
1191,管理学,领导绩效压力的多层次多视角多方法研究,领导 绩效 压力 层次 多视 角多 方法 研究,青年基金项目,加锁锁,江西财经大学,江西,中部,普通院校
1192,管理学,西北生态脆弱区农村人居环境整治提升政策评估与模拟优化研究,西北 生态 脆弱区 农村人 环境 整治 提升 政策 评估 模拟 优化 研究,青年基金项目,保海旭,兰州大学,甘肃,西部,双一流
1193,管理学,不确定环境下中欧班列补贴退坡形成机理与动态调控路径研究,确定 环境 欧班列 补贴 退坡 形成 机理 动态 调控 路径 研究,规划基金项目,肖强,兰州交通大学,甘肃,西部,普通院校
1194,管理学,高管主观AI意识与客观技术背景驱动下数字商业模式创新的前因及对价值共创的后效研究,高管 主观 意识 客观 技术 背景 驱动 数字 商业 模式 创新 前因 价值 共创 后效 研究,规划基金项目,朱珠,辽宁大学,辽宁,东部,双一流
1195,管理学,外部性理论视角下依据多模态数据驱动营商环境升维的机理与对策研究,外部性 理论 视角 依据 模态 数据 驱动 营商 环境 升维 机理 对策 研究,规划基金项目,孙世强,辽宁大学,辽宁,东部,双一流
1196,管理学,年长员工数字化工作融入的认知障碍及干预策略研究,年长 员工 数字化 工作 融入 认知 障碍 干预 策略 研究,规划基金项目,巩振兴,聊城大学,山东,东部,普通院校
1197,管理学,科技领军企业主导的产学研深度融合驱动关键核心技术创新的前因与突破策略研究,科技 领军 企业 主导 产学 研深度 融合 驱动 关键 核心 技术 创新 突破 策略 研究,规划基金项目,吴爱华,鲁东大学,山东,东部,普通院校
1198,管理学,生态合作视角下跨平台供应链多主体协同机制研究,生态 合作 视角 跨平台 供应链 主体 协同 机制 研究,青年基金项目,张巧可,南京财经大学,江苏,东部,普通院校
1199,管理学,AI面试决策对人才甄选利益相关方的影响机制研究,AI 面试 决策 人才 甄选 利益 相关方 影响 机制 研究,青年基金项目,李茹,南京财经大学,江苏,东部,普通院校
1200,管理学,人工智能大模型赋能移动政务服务的效能评估与长效机制研究,人工 智能 大模型 赋能 移动 政务 服务 效能 评估 长效 机制 研究,青年基金项目,张扬,南京大学,江苏,东部,双一流
1201,管理学,社会使命驱动的数字创新生态系统的价值获取研究——基于数字医疗情境,社会 使命 驱动 数字 创新 生态 系统 价值 获取 研究 —— 基于 数字 医疗 情境,规划基金项目,张文红,南京大学,江苏,东部,双一流
1202,管理学,消费者对智能生成信息的动态甄别机制和使用策略研究,消费者 智能 生成 信息 动态 甄别 机制 使用 策略 研究,规划基金项目,宋连莲,南京航空航天大学,江苏,东部,双一流
1203,管理学,助农直播中农产品质量信号的传递机制研究——地方文化符号的声誉视角,助农 直播 农产品 质量 信号 传递 机制 研究 —— 地方 文化 符号 声誉 视角,青年基金项目,霍佳乐,南京农业大学,江苏,东部,双一流
1204,管理学,基于常人理论的临期食品视觉营销策略研究,基于 常人 理论 临期 食品 视觉 营销 策略 研究,青年基金项目,杨璐,南京农业大学,江苏,东部,双一流
1205,管理学,多维量化视角下专精特新政策驱动企业突破式创新的效应识别与优化策略研究,多维量 化视 角下 专精 政策 驱动 企业 突破式 创新 效应 识别 优化 策略 研究,青年基金项目,姜绍静,南京审计大学,江苏,东部,普通院校
1206,管理学,新《公司法》背景下审计委员会承担监事会职权的机制与策略研究——基于内部审计的视角,公司法 背景 审计 委员会 承担 监事会 职权 机制 策略 研究 —— 基于 内部 审计 视角,青年基金项目,马一先,南京审计大学,江苏,东部,普通院校
1207,管理学,国际地缘政治风险的跨国供应链溢出与企业应对策略研究,国际 地缘 政治 风险 跨国 供应链 溢出 企业 应对 策略 研究,青年基金项目,王慧,南京审计大学,江苏,东部,普通院校
1208,管理学,直播电商供应链“带发分离”下质量信息披露机制设计,直播 电商 供应链 带发 分离 质量 信息 披露 机制 设计,青年基金项目,原逸超,南京审计大学,江苏,东部,普通院校
1209,管理学,人机协同团队创造力提升研究：员工—AI双向知识流动的增益、损耗路径及干预策略,人机 协同 团队 创造力 提升 研究 员工 双向 知识 流动 增益 损耗 路径 干预 策略,青年基金项目,王丽,南京师范大学,江苏,东部,双一流
1210,管理学,数字技术驱动的新能源汽车动力电池溯源和回收管理运作优化研究,数字 技术 驱动 能源 汽车 动力 电池 溯源 回收 管理 运作 优化 研究,青年基金项目,刘文萍,南京晓庄学院,江苏,东部,普通院校
1211,管理学,区块链赋能的动力电池规范化回收动态优化、信息协调与激励机制设计研究,区块 链赋 动力 电池 规范化 回收 动态 优化 信息 协调 激励 机制 设计 研究,规划基金项目,朱晓东,南京信息工程大学,江苏,东部,双一流
1212,管理学,面向碳中和的城市交通绿色全要素生产率：测度、影响因素与提升策略研究,面向 碳中 城市 交通 绿色 全要素 生产率 测度 影响 因素 提升 策略 研究,青年基金项目,李亮,南京信息工程大学,江苏,东部,双一流
1213,管理学,基于价格延续认知偏差的农产品供应链渠道结构研究,基于 价格 延续 认知 偏差 农产品 供应链 渠道 结构 研究,规划基金项目,余云龙,南京信息工程大学,江苏,东部,双一流
1214,管理学,气候变化下我国新型电力系统供需失衡风险识别与韧性提升路径研究,气候 变化 我国 新型 电力 系统 供需 失衡 风险 识别 韧性 提升 路径 研究,青年基金项目,索彩,南京信息工程大学,江苏,东部,双一流
1215,管理学,数字创新赋能区域产业共生网络韧性的机理分析与路径优化研究,数字 创新 区域 产业 共生 网络 韧性 机理 分析 路径 优化 研究,规划基金项目,单海燕,南京信息工程大学,江苏,东部,双一流
1216,管理学,全球价值链风险下数智化转型提升制造企业韧性的效应与机制研究,全球 价值链 风险 下数 智化 转型 提升 制造 企业 韧性 效应 机制 研究,规划基金项目,甄珍,南京信息职业技术学院,江苏,东部,普通院校
1217,管理学,老年人失能预防与干预激励机制的社区整合体系研究,老年人 失能 预防 干预 激励 机制 社区 整合 体系 研究,青年基金项目,沙莎,南京邮电大学,江苏,东部,双一流
1218,管理学,基于可解释混合集成模型的客户消费意愿预测研究,基于 解释 混合 集成 模型 客户 消费 意愿 预测 研究,青年基金项目,刘振坤,南京邮电大学,江苏,东部,双一流
1219,管理学,面向围产期衰伤的医院照护体系重构及支持策略研究,面向 围产期 衰伤 医院 照护 体系 重构 支持 策略 研究,青年基金项目,钱嘉璐,南京中医药大学,江苏,东部,双一流
1220,管理学,我国跨境数字服务企业实现全球价值链跃迁的路径研究,我国 跨境 数字 服务 企业 实现 全球 价值 链跃 路径 研究,规划基金项目,张靖佳,南开大学,天津,东部,双一流
1221,管理学,电商平台赋能合同制造商自有品牌引入的供应链竞合策略研究,电商 平台 赋能 合同 制造 商自 品牌 引入 供应链 竞合 策略 研究,规划基金项目,侯棚文,南开大学,天津,东部,双一流
1222,管理学,复杂系统下“技术一制度”协同驱动新质生产力的内在机制及其空间分异治理研究,复杂 系统 技术 制度 协同 驱动 新质 生产力 内在 机制 及其 空间 分异 治理 研究,青年基金项目,刘静,内蒙古大学,内蒙古,西部,双一流
1223,管理学,基于系统动力学建模与仿真的低空经济与旅游产业融合发展演化路径及优选研究,基于 系统 动力学 建模 仿真 低空 经济 旅游 产业 融合 发展 演化 路径 优选 研究,规划基金项目,张鹏,内蒙古科技大学,内蒙古,西部,普通院校
1224,管理学,人工智能融合战略性新兴产业的内在机理与推进机制研究,人工 智能 融合 战略性 新兴 产业 内在 机理 推进 机制 研究,规划基金项目,陈虹,宁波财经学院,浙江,东部,普通院校
1225,管理学,技术内卷对企业高质量发展的影响机制和“反内卷”治理研究,技术 内卷 企业 质量 发展 影响 机制 内卷 治理 研究,青年基金项目,侯帆,宁波大学,浙江,东部,双一流
1226,管理学,“人工智能+”行动驱动制造企业高质量创新的作用机制、多维效应及适配路径,人工 智能 行动 驱动 制造 企业 质量 创新 作用 机制 多维 效应 适配 路径,规划基金项目,刘怡君,宁波职业技术学院,浙江,东部,普通院校
1227,管理学,团队与AI协同创新：效应评估、机制验证与路径优化研究,团队 AI 协同 创新 效应 评估 机制 验证 路径 优化 研究,规划基金项目,张宁,青岛大学,山东,东部,普通院校
1228,管理学,基于数据—知识—机理共融的居家医疗服务资源动态整合与调度问题研究,基于 数据 知识 机理 共融 居家 医疗 服务 资源 动态 整合 调度 问题 研究,规划基金项目,付亚平,青岛大学,山东,东部,普通院校
1229,管理学,领导AI符号化对员工、团队及领导的多层次影响机制研究,领导 AI 符号化 员工 团队 领导 层次 影响 机制 研究,青年基金项目,孙专专,青岛大学,山东,东部,普通院校
1230,管理学,大国博弈背景下我国低空经济产业韧性发展及政策优化,大国 博弈 背景 我国 低空 经济 产业 韧性 发展 政策 优化,规划基金项目,臧树伟,青岛大学,山东,东部,普通院校
1231,管理学,数据驱动的危化品道路运输风险动态预警方法研究,数据 驱动 危化品 道路 运输 风险 动态 预警 方法 研究,青年基金项目,李方方,青岛科技大学,山东,东部,普通院校
1232,管理学,全球价值链重构下制造企业数字创新韧性的生成、演化与提升路径研究,全球 价值 链重 构下 制造 企业 数字 创新 韧性 生成 演化 提升 路径 研究,青年基金项目,范雅楠,青岛理工大学,山东,东部,普通院校
1233,管理学,先进制造企业高质量发展的驱动机制及优化策略研究——基于商业模式裂变视角,先进 制造 企业 质量 发展 驱动 机制 优化 策略 研究 —— 基于 商业 模式 裂变 视角,青年基金项目,张强,青岛理工大学,山东,东部,普通院校
1234,管理学,公共安全风险研判的人机协同机制研究,公共 安全 风险 研判 人机 协同 机制 研究,青年基金项目,邹昀瑾,清华大学,北京,东部,双一流
1235,管理学,水权交易制度促进黄河流域生态保护和高质量发展的机制及对策研究,水权 交易 制度 促进 黄河 流域 生态 保护 高质量 发展 机制 对策 研究,青年基金项目,许航,曲阜师范大学,山东,东部,普通院校
1236,管理学,分布式制造系统的新型生产调度机制研究,分布式 制造 系统 新型 生产 调度 机制 研究,青年基金项目,张龙,曲阜师范大学,山东,东部,普通院校
1237,管理学,“电化长江”驱动内河航运绿色低碳转型的协同路径研究,电化 长江 驱动 内河 航运 绿色 低碳 转型 协同 路径 研究,青年基金项目,高攀,三峡大学,湖北,中部,普通院校
1238,管理学,基于数字孪生的心血管急症区域协同救治平台优化研究,基于 数字 孪生 心血管 急症 区域 协同 救治 平台 优化 研究,规划基金项目,庄伟芬,厦门大学,福建,东部,双一流
1239,管理学,平台生态系统资源赋能对参与者创新驱动创业的影响研究,平台 生态 系统 资源 赋能 参与者 创新 驱动 创业 影响 研究,青年基金项目,苏钟海,厦门大学,福建,东部,双一流
1240,管理学,统一市场监管体制下企业规制俘获的行为矫正、治理机制与政策优化研究,统一 市场 监管 体制 企业 规制 俘获 行为 矫正 治理 机制 政策 优化 研究,青年基金项目,陈邑早,山东财经大学,山东,东部,普通院校
1241,管理学,人机共生目标下AI技术应用与劳动正义的融合机制与路径研究,人机 共生 目标 技术 应用 劳动 正义 融合 机制 路径 研究,规划基金项目,徐鹏,山东财经大学,山东,东部,普通院校
1242,管理学,居民低空交通出行接受机理与实现路径研究,居民 低空 交通 出行 接受 机理 实现 路径 研究,规划基金项目,司红运,山东财经大学,山东,东部,普通院校
1243,管理学,行为公共政策视角下我国育龄人群生育意愿的影响机制与助推策略研究,行为 公共 政策 视角 我国 育龄 人群 生育 意愿 影响 机制 助推 策略 研究,规划基金项目,刘华兴,山东大学,山东,东部,双一流
1244,管理学,DRG/DIP支付方式改革中三级公立医院策略性住院行为的激励机制与协同治理研究,DRG DIP 支付 方式 改革 三级 公立 医院 策略性 住院 行为 激励 机制 协同 治理 研究,规划基金项目,岳林琳,山东第二医科大学,山东,东部,普通院校
1245,管理学,数据资产“效率—风险”双元溢出效应下的供应链竞合机制与网络韧性研究,数据 资产 效率 风险 双元 溢出 效应 供应链 竞合 机制 网络 韧性 研究,规划基金项目,王欣兰,山东工商学院,山东,东部,普通院校
1246,管理学,服务生态系统视域下消费者参与品牌价值共创的动态机制研究——AI电商的组态、路径与演化,服务 生态 系统 视域 消费者 参与 品牌 价值 共创 动态 机制 研究 —— 电商 组态 路径 演化,规划基金项目,王蕾,山东工业职业学院,山东,东部,普通院校
1247,管理学,“链主”企业技术溢出促进产业链协同创新机制与路径研究,链主 企业 技术 溢出 促进 产业链 协同 创新 机制 路径 研究,青年基金项目,张飞腾,山东管理学院,山东,东部,普通院校
1248,管理学,新质生产力驱动下多主体协同智慧养老服务质量评价与提升路径研究,新质 生产力 驱动 主体 协同 智慧 养老 服务 质量 评价 提升 路径 研究,青年基金项目,沈梦姣,山东管理学院,山东,东部,普通院校
1249,管理学,产业链生态系统视域下建筑业数绿协同转型的驱动机理和推进策略研究,产业链 生态 系统 视域 建筑 业数 协同 转型 驱动 机理 推进 策略 研究,规划基金项目,周景阳,山东建筑大学,山东,东部,普通院校
1250,管理学,惩罚机制下社会困境博弈的合作形成机理——基于非线性群体相互作用的研究,惩罚 机制 社会 困境 博弈 合作 形成 机理 —— 基于 非线性 群体 相互 作用 研究,青年基金项目,吕少杰,山东交通学院,山东,东部,普通院校
1251,管理学,人工智能技术驱动资源型地区产业结构转型的内在机制与实现路径研究,人工 智能 技术 驱动 资源型 地区 产业 结构 转型 内在 机制 实现 路径 研究,青年基金项目,赵睿,山东科技大学,山东,东部,普通院校
1252,管理学,基于社会互动效应的数智化服务系统效率评估与排队经济学分析,基于 社会 互动 效应 数智化 服务 系统 效率 评估 排队 经济学 分析,规划基金项目,姜涛,山东科技大学,山东,东部,普通院校
1253,管理学,地方政府差别化供地策略对工业全要素生产率的影响机制与优化路径——本地—溢出双维视角,地方政府 差别化 供地 策略 工业 全要素 生产率 影响 机制 优化 路径 —— 本地 —溢 双维 视角,规划基金项目,彭山桂,山东农业大学,山东,东部,普通院校
1254,管理学,价值链视角下数据要素赋能企业首发竞争优势研究,价值 链视 角下 数据 要素 赋能 企业 首发 竞争 优势 研究,青年基金项目,翟君,山西财经大学,山西,中部,普通院校
1255,管理学,基于生存概率的研发投资理论研究,基于 生存 概率 研发 投资 理论 研究,规划基金项目,王远平,山西财经大学,山西,中部,普通院校
1256,管理学,资源编排视角下数字技术驱动的企业融通创新机理研究,资源 编排 视角 数字 技术 驱动 企业 融通 创新 机理 研究,青年基金项目,裴梦丹,山西财经大学,山西,中部,普通院校
1257,管理学,创新困境下“专精特新”企业动态战略响应机制与策略研究,创新 困境 专精 企业 动态 战略 响应 机制 策略 研究,规划基金项目,杨庆,山西财经大学,山西,中部,普通院校
1258,管理学,AI与大数据融合驱动的就业公共服务体系创新机制与路径优化研究,AI 大数 融合 驱动 就业 公共 服务 体系 创新 机制 路径 优化 研究,青年基金项目,成瑞,山西大学,山西,中部,双一流
1259,管理学,基层政府耕地“非粮化”整改政策执行偏差及其矫正研究,基层 政府 耕地 非粮化 整改 政策 执行 偏差 及其 矫正 研究,青年基金项目,张嘉凌,山西大学,山西,中部,双一流
1260,管理学,多模态数据驱动的大规模群体决策动态演化与协同优化机制研究,模态 数据 驱动 大规模 群体 决策 动态 演化 协同 优化 机制 研究,规划基金项目,范建平,山西大学,山西,中部,双一流
1261,管理学,悖论思维影响团队创意识别的机理研究——基于分歧共识模型视角,悖论 思维 影响 团队 创意 识别 机理 研究 —— 基于 分歧 共识 模型 视角,规划基金项目,屈晓倩,陕西师范大学,陕西,西部,双一流
1262,管理学,链主企业融通创新助推关键核心技术突破的机制与路径研究,链主 企业 融通 创新 助推 关键 核心 技术 突破 机制 路径 研究,青年基金项目,王钰莹,陕西师范大学,陕西,西部,双一流
